y	x
15	0.01013184
16	0.01013184
17	0.01013184
18	0.00000000
19	0.00000000
20	0.00000000
21	0.00000000
22	0.00000000
23	0.03015137
24	0.05017090
25	0.05017090
26	0.05017090
27	0.06030273
28	0.06030273
29	0.06030273
30	0.06030273
31	0.06030273
32	0.05017090
33	0.06030273
34	0.06030273
35	0.06030273
36	0.06030273
37	0.06030273
38	0.06030273
39	0.06030273
40	0.06030273
41	0.06030273
42	0.07031250
43	0.08032227
44	0.09033203
45	0.10046387
46	0.12048340
47	0.14050293
48	0.15063477
49	0.18066406
50	0.22082520
51	0.29113770
52	0.30114746
53	0.30114746
54	0.29113770
55	0.31115723
56	0.31115723
57	0.34130859
58	0.35131836
59	0.35131836
60	0.29113770
61	-2.25805664
62	20.40356445
63	29.79736328
64	30.09851074
65	32.54736328
66	34.39404297
67	43.53698730
68	47.45104980
69	57.97900391
70	71.09619141
71	69.52062988
72	57.44702148
73	55.55017090
74	62.09375000
75	57.66784668
76	62.57556152
77	56.50366211
78	65.85742188
79	75.39172363
80	60.83923340
81	68.03527832
82	65.25524902
83	59.60485840
84	58.72167969
85	72.91284180
86	62.35473633
87	64.76342773
88	76.75659180
89	78.27209473
90	60.87939453
91	58.53100586
92	60.94970703
93	60.41772461
94	59.82568359
95	59.21337891
96	58.27001953
97	56.43334961
98	54.62695312
99	53.67346191
100	53.07128906
101	52.53942871
102	51.82678223
103	50.97375488
104	50.42175293
105	49.59875488
106	48.26391602
107	46.20654297
108	44.08886719
109	42.48315430
110	40.52612305
111	37.36474609
112	33.97241211
113	32.03552246
114	31.17236328
115	30.78100586
116	30.57019043
117	30.44982910
118	30.34936523
119	30.25903320
120	30.17883301
121	30.10852051
122	30.04833984
123	29.98815918
124	29.93798828
125	29.75732422
126	28.83398438
127	27.15795898
128	25.95361328
129	25.49194336
130	25.36145020
131	25.27111816
132	25.17077637
133	25.07043457
134	24.95996094
135	24.83959961
136	24.68896484
137	24.47827148
138	23.75561523
139	22.92260742
140	22.55126953
141	22.20007324
142	21.44738770
143	20.75488281
144	20.35339355
145	20.12255859
146	19.96203613
147	19.83154297
148	19.71105957
149	19.60070801
150	19.48022461
151	19.36987305
152	19.25939941
153	19.15905762
154	18.96838379
155	18.73754883
156	18.54687500
157	18.37622070
158	18.22570801
159	18.07519531
160	17.95471191
161	17.83435059
162	17.66369629
163	17.39270020
164	16.49951172
165	15.49584961
166	15.04431152
167	14.83349609
168	14.69299316
169	14.55249023
170	14.39184570
171	14.26147461
172	14.16113281
173	14.10083008
174	14.07080078
175	14.03063965
176	14.00048828
177	13.97033691
178	13.93029785
179	13.90014648
180	13.86999512
181	13.83996582
182	13.79980469
183	13.76965332
184	13.61914062
185	12.98681641
186	12.44494629
187	12.12377930
188	11.89294434
189	11.70227051
190	11.59179688
191	11.53161621
192	11.49145508
193	11.47143555
194	11.45129395
195	11.41113281
196	11.36096191
197	11.32080078
198	11.28063965
199	11.24060059
200	11.20043945
201	11.15026855
202	11.11010742
203	11.05993652
204	10.93945312
205	10.45776367
206	10.04626465
207	9.83544922
208	9.71508789
209	9.65478516
210	9.61474609
211	9.58459473
212	9.55444336
213	9.51428223
214	9.48425293
215	9.44409180
216	9.39392090
217	9.35375977
218	9.32360840
219	9.30358887
220	9.29357910
221	9.26342773
222	9.23327637
223	9.19311523
224	9.15307617
225	9.11291504
226	9.06274414
227	9.00244141
228	8.94226074
229	8.87207031
230	8.79174805
231	8.70141602
232	8.61108398
233	8.51074219
234	8.42041016
235	8.35009766
236	8.25976562
237	8.10925293
238	7.67773438
239	7.30639648
240	7.11572266
241	7.01538086
242	6.92504883
243	6.84472656
244	6.77441406
245	6.70422363
246	6.66406250
247	6.62390137
248	6.59375000
249	6.57373047
250	6.55371094
251	6.53356934
252	6.51354980
253	6.49340820
254	6.48339844
255	6.46337891
256	6.44323730
257	6.42321777
258	6.41320801
259	6.39306641
260	6.37304688
261	6.36291504
262	6.34289551
263	6.33288574
264	6.32287598
265	6.30273438
266	6.29272461
267	6.27270508
268	6.25256348
269	6.24255371
270	6.22241211
271	6.21240234
272	6.19238281
273	6.16223145
274	6.14221191
275	6.11206055
276	6.09204102
277	6.06188965
278	6.03173828
279	5.99157715
280	5.95153809
281	5.91137695
282	5.86120605
283	5.80090332
284	5.74072266
285	5.68054199
286	5.61022949
287	5.55004883
288	5.47973633
289	5.42956543
290	5.35937500
291	5.29919434
292	5.23889160
293	5.17871094
294	5.12854004
295	5.07836914
296	5.02819824
297	4.98803711
298	4.94787598
299	4.90771484
300	4.86755371
301	4.84753418
302	4.81738281
303	4.79736328
304	4.77722168
305	4.75720215
306	4.73706055
307	4.71704102
308	4.67687988
309	4.62670898
310	4.57653809
311	4.53637695
312	4.50622559
313	4.46618652
314	4.41601562
315	4.40588379
316	4.40588379
317	4.42602539
318	4.42602539
319	4.40588379
320	4.38586426
